1560	497	205	101	58	32	20	17	9	4	4	3	3	2	2	1	1	1	1	1	1	1	1	1	
1429	432	186	101	49	26	20	11	6	5	3	3	2	2	1	1	1	1	1	1	1	1	1	0	
1360	442	191	90	51	32	17	11	8	4	4	3	3	2	2	1	1	1	1	1	1	1	0	0	
1349	459	198	93	58	32	18	12	9	8	6	6	5	5	4	3	2	2	2	2	2	1	1	1	
1477	476	217	124	65	36	26	16	12	10	10	7	5	4	3	2	2	2	2	2	1	1	1	1	
1390	527	277	137	77	56	38	25	20	18	12	10	9	6	5	5	4	4	4	2	2	2	2	2	
1577	672	290	154	104	74	44	33	25	18	15	13	10	9	9	8	8	7	5	5	5	5	5	5	
2244	759	344	229	141	88	67	52	39	34	28	20	19	19	19	19	17	15	15	15	15	15	15	15	
1835	703	430	250	157	119	87	65	55	41	31	30	29	27	26	24	22	22	22	21	21	20	20	20	
2011	1019	520	286	198	142	104	88	66	53	50	48	46	45	43	41	39	39	38	38	38	38	37	37	
2839	1021	537	343	256	180	154	113	91	85	81	75	74	71	69	67	67	66	65	65	64	62	62	62	
2013	872	499	340	233	189	141	113	105	100	93	91	87	85	82	82	81	80	79	78	76	76	76	76	
2400	1117	725	444	331	240	200	181	173	151	145	141	138	134	134	131	129	128	127	125	124	124	124	123	
2741	1440	716	508	350	287	263	249	217	208	202	194	191	189	186	184	182	181	179	176	176	175	173	167	
3770	1327	831	533	401	361	343	288	276	270	255	249	246	241	238	236	235	231	228	228	227	225	218	205	
2067	1120	672	479	428	407	332	318	309	291	283	280	275	271	269	268	264	260	259	258	254	245	230	219	
3326	1547	1021	884	830	653	622	605	574	561	553	542	533	524	521	512	505	497	489	478	466	439	411	358	
3192	1763	1507	1423	1076	1010	981	926	905	893	870	857	845	840	827	816	806	786	770	741	700	651	575	544	
3654	2499	2309	1716	1592	1544	1435	1391	1373	1341	1319	1292	1277	1247	1231	1212	1180	1145	1104	1041	963	846	787	747	
3249	2834	2015	1832	1764	1630	1574	1550	1509	1481	1446	1425	1386	1364	1338	1300	1262	1217	1148	1060	931	861	803	794	
5246	2634	2307	2187	1972	1900	1853	1789	1750	1702	1671	1619	1584	1548	1503	1458	1405	1326	1210	1060	977	910	898	886	
4206	3478	3245	2872	2727	2645	2535	2481	2401	2348	2261	2199	2145	2075	2016	1944	1840	1677	1476	1350	1265	1248	1227	1215	
4667	4111	3501	3283	3150	3006	2923	2811	2737	2620	2541	2469	2382	2312	2227	2111	1913	1684	1541	1436	1419	1389	1377	1361	
7125	4465	4097	3877	3664	3511	3355	3252	3080	2971	2872	2757	2665	2561	2422	2184	1920	1758	1635	1615	1575	1560	1537	1519	
5547	4809	4429	4111	3898	3689	3539	3338	3193	3073	2942	2831	2714	2565	2299	2009	1835	1707	1683	1632	1614	1589	1569	1564	
6129	5262	4743	4444	4139	3923	3672	3490	3348	3192	3053	2922	2753	2458	2132	1946	1809	1780	1718	1698	1672	1650	1644	1634	
